Job_Name,Company,Location,Required_Skills,min_salary,max_salary
"Junior Business Analyst At Bitel, Based In Peru",Viettel Peru,Nước Ngoài,Không có,28600000,36400000
DevOps Engineer,Công ty Cổ phần TOPCV Việt Nam,Hà Nội: Thanh Xuân,"Linux, System Admin, CI/CD",0,2000000
Kỹ Sư Quản Lý Tinh Gọn Cấp Cao,CÔNG TY TNHH CÔNG NGHIỆP JINKO SOLAR (VIỆT NAM),Quảng Ninh: Quảng Yên,Không có,45000000,50000000
Senior Frontend Developer,CÔNG TY TNHH VODAPLAY VIỆT NAM,Hà Nội: Cầu Giấy,Không có,0,30000000
IOS Developer,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,Hà Nội: Nam Từ Liêm,"Swift, XCode",0,2000000
Backend Engineer,CÔNG TY CỔ PHẦN 1MATRIX,Hà Nội: Hoàng Mai,"NodeJS, Golang, Rust",0,2000000
QA - Validation & Verification Engineer,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Hà Nội: Cầu Giấy,"CCNA, Engish",0,2000000
Senior Fullstack Developer PHP,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,"Javascript, PHP, HTML/CSS",20000000,30000000
Nhân Viên Business Analyst,Công ty TNHH Phát triển công nghệ điện tử Bình Anh,Hà Nội,"SQL, Phân tích dữ liệu, Truyền Đạt Thông Tin",15000000,20000000
Thực Tập Sinh Công Nghệ Thông Tin Fulltime Có Lương,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Hồ Chí Minh: Quận 12,"Tư duy logic, Kỹ năng giải quyết vấn đề, Tinh thần làm việc nhóm",4000000,10000000
Junior Fullstack Developer PHP,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,"CSS, Git, Github",12000000,15000000
Application Support Assistant Manager / Supervisor,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,"Team Leadership, application support, Incident Management",0,2000000
Product Executive,Công ty Cổ phần TOPCV Việt Nam,Hà Nội: Thanh Xuân,"Nghiên Cứu Thị Trường, Phân Tích Thị Trường, Quản Lý Sản Phẩm",0,2000000
"Nhân Viên Kỹ Thuật Máy Tính, Máy In, Camera Thu Nhập 8",Công ty TNHH công nghệ KSC,Hải Phòng: An Dương,Không có,8000000,12000000
Junior Fullstack Developers,CÔNG TY TNHH TÍCH HỢP CRM,Hà Nội: Cầu Giấy,"Java, MongoDB, NodeJS",0,2000000
Nhân Viên Đánh Giá An Toàn Thông Tin,Công Ty TNHH BlueCyber,Hà Nội: Cầu Giấy,"Đánh giá rủi ro, Kỹ Năng Viết Báo Cáo, Phân Tích Lỗ Hổng Bảo Mật",0,2000000
Chương Trình Đào Tạo IT Fresher,NashTech,Hồ Chí Minh: Tân BìnhHà Nội: Cầu Giấy,"Tester, Tư duy logic, Testing",0,2000000
Full Stack Developer,Công Ty TNHH LG CNS VIỆT NAM,Hà Nội: Nam Từ Liêm,Không có,0,2000000
Kỹ Thuật Lập Trình / Programmer Engineer,Công ty Cổ phần AVPlus,Hà Nội,Không có,13000000,20000000
Product Owner AI,Khối Công nghệ thông tin - Viettel Telecom,Hà Nội: Ba Đình,Không có,0,2000000
DevOps Engineer,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ BẢO KIM,Hà Nội: Thanh Xuân,Không có,25000000,35000000
Java Developer Intern,Woori Bank Vietnam,Hà Nội: Nam Từ Liêm,Java,5200000,7800000
Chuyên Viên Công Nghệ Thông Tin,CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ NHẬT VIỆT,Hồ Chí Minh: Quận 2,"Kỹ năng giao tiếp, Kỹ năng làm việc nhóm, Khả năng giải quyết vấn đề",10000000,15000000
Backend Developer,Công Ty CP Giải Pháp Phần Mềm Linh Hoạt,Hồ Chí Minh: Quận 11,"RESTful APIs, Data Structures And Algorithms, Database Design",0,2000000
Business Analyst,CÔNG TY TNHH An Ninh An toàn Thông tin CMC,Hà Nội: Cầu Giấy,Không có,14000000,20000000
Tester Up To 15M,BSS Group,Hà Nội: Nam Từ Liêm,"Kỹ năng giao tiếp, Kỹ Năng Phân Tích Yêu Cầu, Kiến Thức Về Kiểm Thử Phần Mềm",10000000,15000000
Fullstack Developer,CÔNG TY TNHH GROOO INTERNATIONAL,Hồ Chí Minh: Quận 1,"Spring Framework, Tiếng Anh, Java",0,2000000
Chuyên Viên Kiểm Thử Phần Mềm,CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,Hà Nội: Cầu Giấy,"Kiến Thức Về Kiểm Thử Phần Mềm, Kỹ Năng Viết Test Case, Kỹ Năng Thực Hiện Test",10000000,18000000
Kỹ Sư Lập Trình Phần Mềm,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Hà Nội: Thạch Thất,"Lập Trình, Kiến Thức Về Hệ Điều Hành, Kiến Thức Về Cơ Sở Dữ Liệu",0,2000000
Nhân Viên Triển Khai Giải Pháp ERP,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,Hà Nội: Nam Từ Liêm,"Kỹ năng giao tiếp, Kỹ năng giải quyết vấn đề, kỹ năng tư vấn",8000000,15000000
Thực Tập Sinh/ Intern Dev,CÔNG TY CỔ PHẦN ICSP VIỆT NAM,Hà Nội: Cầu Giấy,Không có,0,2000000
Scrum Master/ Project Manager,OpenCommerce Group,Hà Nội: Đống Đa,"tester leader, Software Tester, SCRUM",0,2000000
Quản Lý Dự Án,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,Hà Nội: Ba Đình,"Quản Lý Dự Án, Kinh Nghiệm Với Các Giải Pháp Phần Mềm, Hiểu Biết Về Cơ Sở Hạ Tầng Cntt",60000000,70000000
Product Owner,CÔNG TY TNHH DAOUKIWOOM INNOVATION,Hồ Chí Minh: Bình Thạnh,"Agile, SCRUM, Stakeholder Management",10000000,28000000
Backend Developer Công Ty IT Hàn Quốc,ORBRO Inc.,Hà Nội: Cầu Giấy,"REST API, Websocket, Backend",0,2000000
Fullstack Developer,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,Hà Nội: Đống Đa,"Javascript, PHP, ReactJS",0,2000000
Blockchain Backend Developer,CÔNG TY TNHH BULL LABS,Hà Nội: Nam Từ Liêm,"CSS, Git, HTTP/HTTPS",26000000,65000000
Giám Đốc IT,CÔNG TY CỔ PHẦN PGT SOLUTIONS,Hà Nội: Cầu Giấy,"Tiếng Nhật N2 Trở Lên, Quản Lý Dự Án It, Quản Lý Ngân Sách It",0,2000000
Kỹ Thuật Quản Trị Cơ Sở Dữ Liệu,Công ty cổ phần Onenet,Hà Nội: Nam Từ Liêm,"Sao Lưu Và Phục Hồi Dữ Liệu (backup And Recovery), Bảo Mật Cơ Sở Dữ Liệu (database Security), Tối Ưu Hóa Hiệu Suất Cơ Sở Dữ Liệu (database Performance Tuning)",15000000,35000000
X Middle Frontend Developer,CÔNG TY CỔ PHẦN GENLOGIN SOFTWARE,Hà Nội: Hà Đông,"CSS, HTML, Javascript (es6+)",20000000,30000000
Embedded Software Engineer Thu Nhập Thỏa Thuận Tại Hà Nội,CÔNG TY CỔ PHẦN ĐIỆN TỬ SOJI,Hà Nội: Hà Đông,"Debugging, Embedded Systems",0,2000000
Fullstack Developer,OpenCommerce Group,Hà Nội: Đống Đa,"Javascript, HTML/CSS, RESTful APIs",0,35000000
Mobile Developer,Công ty Cổ Phần Đầu tư Công nghệ Trip,Hà Nội: Nam Từ Liêm,"Hiểu Biết Về Cấu Trúc Dữ Liệu Và Giải Thuật, Kinh Nghiệm Làm Việc Với Restful Api, Lập Trình Swift (ios) Hoặc Kotlin Java (android)",0,2000000
Business Analyst,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,Hà Nội,"SQL, Phân tích dữ liệu, Quản Lý Dự Án",0,30000000
Senior Frontend Developer,CÔNG TY TNHH VODAPLAY VIỆT NAM,Hà Nội: Cầu Giấy,Không có,0,30000000
QA - Validation & Verification Engineer,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Hà Nội: Cầu Giấy,"CCNA, Engish",0,2000000
Backend Engineer,CÔNG TY CỔ PHẦN 1MATRIX,Hà Nội: Hoàng Mai,"NodeJS, Golang, Rust",0,2000000
Senior Fullstack Developer PHP,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,"Javascript, PHP, HTML/CSS",20000000,30000000
Nhân Viên Business Analyst,Công ty TNHH Phát triển công nghệ điện tử Bình Anh,Hà Nội,"SQL, Phân tích dữ liệu, Truyền Đạt Thông Tin",15000000,20000000
Thực Tập Sinh Công Nghệ Thông Tin,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Hồ Chí Minh: Quận 12,"Tư duy logic, Kỹ năng giải quyết vấn đề, Tinh thần làm việc nhóm",4000000,10000000
Kỹ Sư Xây Dựng,Công ty Cổ phần BIM Hà Nội,Hà Nội: Hoàng Mai,"Revit, Navisworks, MEP",20000000,26000000
Product Executive,Công ty Cổ phần TOPCV Việt Nam,Hà Nội: Thanh Xuân,"Nghiên Cứu Thị Trường, Phân Tích Thị Trường, Quản Lý Sản Phẩm",0,2000000
Junior Fullstack Developer PHP,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,"CSS, Git, Github",12000000,15000000
Application Support Assistant Manager / Supervisor,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,"Team Leadership, application support, Incident Management",0,2000000
"Nhân Viên Kỹ Thuật Máy Tính, Máy In, Camera Thu Nhập 8",Công ty TNHH công nghệ KSC,Hải Phòng: An Dương,Không có,8000000,12000000
Junior Fullstack Developers,CÔNG TY TNHH TÍCH HỢP CRM,Hà Nội: Cầu Giấy,"Java, MongoDB, NodeJS",0,2000000
Nhân Viên Đánh Giá An Toàn Thông Tin,Công Ty TNHH BlueCyber,Hà Nội: Cầu Giấy,"Đánh giá rủi ro, Kỹ Năng Viết Báo Cáo, Phân Tích Lỗ Hổng Bảo Mật",0,2000000
Full Stack Developer,Công Ty TNHH LG CNS VIỆT NAM,Hà Nội: Nam Từ Liêm,Không có,0,2000000
Chương Trình Đào Tạo IT Fresher,NashTech,Hồ Chí Minh: Tân BìnhHà Nội: Cầu Giấy,"Tester, Tư duy logic, Testing",0,2000000
Kỹ Thuật Lập Trình / Programmer Engineer,Công ty Cổ phần AVPlus,Hà Nội,Không có,13000000,20000000
Back End Developer,CÔNG TY TNHH PERSOL CAREER TECH STUDIO VIỆT NAM,Hồ Chí Minh: Quận 3,Không có,19500000,49400000
Senior Front,CÔNG TY TNHH SPACEMIND,Đà Nẵng: Thanh Khê,Không có,40000000,55000000
