Movie_Name,Release_Year,Metascore,User_Score,Average,User_Ratings,Duration_Minutes,Genre
Toy Story 4,2019,0.84,0.76,0.8,304000,100.0,Computer Animation|Road Trip|Supernatural Fantasy|Urban Adventure|Adventure|Animation|Comedy|Family|Fantasy
Glass,2019,0.43,0.66,0.55,298000,129.0,Psychological Drama|Psychological Horror|Psychological Thriller|Superhero|Drama|Horror|Sci-Fi|Thriller
Black Adam,2022,0.41,0.61,0.51,298000,125.0,Action Epic|Adventure Epic|Epic|Fantasy Epic|Sci-Fi Epic|Superhero|Action|Adventure|Fantasy|Sci-Fi
The Matrix Resurrections,2021,0.63,0.56,0.6,297000,148.0,Cyberpunk|Martial Arts|Superhero|Action|Sci-Fi
Venom: Let There Be Carnage,2021,0.49,0.59,0.54,295000,97.0,Alien Invasion|Kaiju|One-Person Army Action|Superhero|Action|Sci-Fi|Thriller
Killers of the Flower Moon,2023,0.89,0.75,0.82,292000,206.0,Epic|Period Drama|Tragedy|True Crime|Western Epic|Crime|Drama|History|Western
The Lighthouse,2019,0.83,0.74,0.78,291000,109.0,Dark Fantasy|Folk Horror|Period Drama|Psychological Drama|Psychological Horror|Psychological Thriller|Suspense Mystery|Drama|Fantasy|Horror
Uncharted,2022,0.45,0.63,0.54,290000,116.0,Action Epic|Adventure Epic|Globetrotting Adventure|Quest|Action|Adventure
The Northman,2022,0.82,0.7,0.76,289000,137.0,Action Epic|Adventure Epic|Dark Fantasy|Epic|Fantasy Epic|Historical Epic|One-Person Army Action|Period Drama|Tragedy|Action
Encanto,2021,0.75,0.72,0.74,288000,102.0,Computer Animation|Pop Musical|Animation|Comedy|Family|Fantasy|Musical
Cruella,2021,0.59,0.73,0.66,287000,134.0,Caper|Urban Adventure|Adventure|Comedy|Crime|Drama
The Lion King,2019,0.55,0.68,0.62,287000,118.0,Adventure Epic|Animal Adventure|Coming-Of-Age|Computer Animation|Epic|Adventure|Animation|Drama|Family|Musical
The Banshees of Inisherin,2022,0.87,0.77,0.82,286000,114.0,Dark Comedy|Period Drama|Psychological Drama|Tragedy|Comedy|Drama
All Quiet on the Western Front,2022,0.76,0.78,0.77,285000,148.0,German|Epic|Period Drama|Psychological Drama|Tragedy|War Epic|Drama|History|War
Extraction,2020,0.56,0.68,0.62,283000,116.0,Gun Fu|One-Person Army Action|Action|Crime|Thriller
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,0.6,0.61,0.6,278000,109.0,Dark Comedy|Superhero|Action|Comedy|Crime
Movie,2023,0.46,0.7,0.58,277000,92.0,Action Epic|Adventure Epic|Computer Animation|Fantasy Epic|High-Concept Comedy|Quest|Quirky Comedy|Slapstick|Adventure|Animation
The Invisible Man,2020,0.72,0.71,0.72,277000,124.0,B-Horror|Psychological Drama|Psychological Horror|Psychological Thriller|Suspense Mystery|Whodunnit|Drama|Horror|Mystery|Sci-Fi
Gladiator II,2024,0.64,0.65,0.64,276000,148.0,Action Epic|Adventure Epic|Epic|Period Drama|Sword & Sandal|Action|Adventure|Drama
Ad Astra,2019,0.8,0.65,0.73,275000,123.0,Sci-Fi Epic|Space Sci-Fi|Adventure|Drama|Mystery|Sci-Fi|Thriller
Little Women,2019,0.91,0.78,0.84,274000,135.0,Coming-Of-Age|Costume Drama|Holiday Romance|Period Drama|Teen Drama|Teen Romance|Drama|Romance
