Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Booksmart,2019,7.1,138K,84,1h 42m,"Buddy Comedy, Coming-of-Age, Teen Comedy, Comedy"
Barry,2018–2023,8.3,137K,N/A,TV-MA,"Dark Comedy, Psychological Drama, Action, Comedy, Crime, Drama"
Late Night with the Devil,2023,7,137K,72,1h 33m,"Folk Horror, Found Footage Horror, Showbiz Drama, Supernatural Horror, Horror"
Dil Bechara,2020,8.3,137K,N/A,1h 41m,"Hindi, Tragedy, Comedy, Drama, Romance"
The Little Things,2021,6.3,137K,54,2h 8m,"Cop Drama, Period Drama, Police Procedural, Psychological Thriller, Serial Killer, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Adipurush,2023,2.6,136K,N/A,2h 59m,"Telugu, Action Epic, Epic, Action, Drama"
The Pale Blue Eye,2022,6.6,136K,56,2h 8m,"Period Drama, Suspense Mystery, Whodunnit, Crime, Horror, Mystery, Thriller"
A Haunting in Venice,2023,6.5,136K,63,1h 43m,"Folk Horror, Psychological Horror, Psychological Thriller, Whodunnit, Crime, Drama, Horror, Mystery, Thriller"
To All the Boys I've Loved Before,2018,7,136K,64,1h 39m,"Romantic Comedy, Teen Comedy, Teen Drama, Teen Romance, Comedy, Drama, Romance"
Ahsoka,2023–,7.4,136K,N/A,TV-14,"Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Fantasy, Sci-Fi"
Emily in Paris,2020–,6.8,135K,N/A,TV-MA,"Steamy Romance, Workplace Drama, Comedy, Drama, Romance"
Alice in Borderland,2020–,7.8,135K,N/A,TV-MA,"Japanese, Cyber Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Survival, Action, Drama, Horror, Mystery"
Pacific Rim: Uprising,2018,5.6,135K,44,1h 51m,"Kaiju, Action, Adventure, Sci-Fi"
Gen V,2023–,7.6,134K,N/A,TV-MA,"Superhero, Teen Drama, Action, Adventure, Comedy, Drama, Sci-Fi"
Shershaah,2021,8.3,134K,73,2h 15m,"Hindi, Action Epic, Docudrama, Tragedy, Action, Biography, Drama, War"
Final Destination: Bloodlines,2025,6.7,134K,N/A,1h 50m,"Dark Comedy, Splatter Horror, Supernatural Horror, Teen Horror, Horror, Thriller"
Black Bird,2022,8.1,134K,N/A,TV-MA,"Prison Drama, Psychological Drama, True Crime, Biography, Crime, Drama, Mystery, Thriller"
Bombshell,2019,6.8,134K,64,1h 49m,"Docudrama, Workplace Drama, Biography, Drama"
Hamilton,2020,8.3,134K,88,2h 40m,"Epic, Historical Epic, Biography, Drama, History, Musical"
Sound of Freedom,2023,7.6,134K,36,2h 11m,"Docudrama, True Crime, Biography, Crime, Drama, History, Thriller"
Lightyear,2022,6.1,133K,60,1h 45m,"Action Epic, Adventure Epic, Computer Animation, Epic, Sci-Fi Epic, Space Sci-Fi, Superhero, Time Travel, Action, Adventure"
Unbelievable,2019,8.3,133K,N/A,TV-MA,"Docudrama, Psychological Drama, True Crime, Crime, Drama"
Sharp Objects,2018,8,133K,N/A,TV-MA,"Psychological Drama, Psychological Thriller, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Instant Family,2018,7.3,133K,57,1h 58m,"Coming-of-Age, Comedy, Drama"
"Love, Simon",2018,7.5,132K,72,1h 50m,"Coming-of-Age, Feel-Good Romance, Romantic Comedy, Teen Comedy, Teen Drama, Teen Romance, Comedy, Drama, Romance"
The Commuter,2018,6.3,132K,56,1h 44m,"Conspiracy Thriller, One-Person Army Action, Whodunnit, Action, Mystery, Thriller"
The Fabelmans,2022,7.5,131K,85,2h 31m,"Coming-of-Age, Period Drama, Showbiz Drama, Teen Drama, Drama"
Soorarai Pottru,2020,8.6,130K,N/A,2h 33m,"Tamil, Drama"
The Fall of the House of Usher,2023,7.9,130K,N/A,TV-MA,"Supernatural Horror, Drama, Horror, Mystery"
Gemini Man,2019,5.7,129K,38,1h 57m,"Conspiracy Thriller, Action, Sci-Fi, Thriller"
Gran Turismo,2023,7.1,129K,48,2h 14m,"Car Action, Motorsport, Action, Adventure, Drama, Sport"
Maleficent: Mistress of Evil,2019,6.6,129K,43,1h 59m,"Dark Fantasy, Dark Romance, Fairy Tale, Adventure, Drama, Family, Fantasy, Romance"
Marvel,2022,6.2,129K,N/A,TV-PG,"Superhero, Teen Comedy, Teen Drama, Action, Adventure, Comedy, Crime, Family, Fantasy, Mystery"
Godzilla x Kong: The New Empire,2024,6,129K,47,1h 55m,"Action Epic, Dinosaur Adventure, Disaster, Globetrotting Adventure, Kaiju, Supernatural Fantasy, Action, Adventure, Fantasy, Sci-Fi"
Fall,2022,6.4,128K,62,1h 47m,"B-Action, Desert Adventure, Survival, Action, Thriller"
The Green Knight,2021,6.6,128K,85,2h 10m,"Adventure Epic, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy"
Greyhound,2020,7,128K,64,1h 31m,"Period Drama, War Epic, Drama, History, War"
Long Shot,2019,6.8,127K,67,2h 5m,"Romantic Comedy, Comedy, Romance"
Transformers: Rise of the Beasts,2023,6,127K,42,2h 7m,"Alien Invasion, Car Action, Action, Adventure, Sci-Fi"
Smile 2,2024,6.7,126K,67,2h 7m,"Psychological Horror, Showbiz Drama, Splatter Horror, Supernatural Horror, Tragedy, Horror, Mystery, Thriller"
BOOM!,2021,7.5,126K,74,1h 55m,"Docudrama, Pop Musical, Biography, Comedy, Drama, Musical"
Slow Horses,2022–,8.3,126K,N/A,TV-MA,"Dark Comedy, Spy, Drama, Thriller"
The Unforgivable,2021,7.1,126K,41,1h 52m,"Psychological Drama, Suspense Mystery, Crime, Drama, Mystery"
Dhindora,2021–,8.8,125K,N/A,Not Rated,"Hindi, Comedy, Drama"
Guillermo del Toro's Pinocchio,2022,7.6,123K,54,1h 57m,"Dark Fantasy, Fairy Tale, Stop Motion Animation, Adventure, Animation, Drama, Family, Fantasy, Musical"
Cocaine Bear,2023,5.9,123K,79,1h 35m,"Dark Comedy, True Crime, Comedy, Crime, Thriller"
Portrait of a Lady on Fire,2019,8,123K,95,2h 2m,"French, Steamy Romance, Drama, Romance"
Hit Man,2023,6.8,123K,82,1h 55m,"Docudrama, Romantic Comedy, Comedy, Crime, Romance"
The Terminal List,2022–,7.9,123K,N/A,TV-MA,"Conspiracy Thriller, One-Person Army Action, Action, Drama, Thriller"
What We Do in the Shadows,2019–2024,8.5,123K,N/A,TV-MA,"Mockumentary, Sitcom, Vampire Horror, Comedy, Fantasy, Horror"
Shadow and Bone,2021–2023,7.5,122K,N/A,TV-14,"Supernatural Fantasy, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Mystery"
The Last of Us,2023–,9.1,122K,N/A,1h 21m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
Five Nights at Freddy's,2023,5.4,122K,33,1h 49m,"Supernatural Horror, Suspense Mystery, Whodunnit, Horror, Mystery, Thriller"
I'm Still Here,2024,8.1,121K,85,2h 17m,"Portuguese, Docudrama, Period Drama, Political Drama, Biography, Drama, History"
Speak No Evil,2024,6.8,121K,66,1h 50m,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Thriller"
Good Omens,2019–2025,8,121K,N/A,TV-MA,"Buddy Comedy, Dark Comedy, High-Concept Comedy, Supernatural Fantasy, Comedy, Drama, Fantasy"
Aftersun,2022,7.6,121K,95,1h 42m,"Coming-of-Age, Teen Drama, Drama"
Beautiful Boy,2018,7.4,120K,62,2h,"Docudrama, Biography, Drama"
Foundation,2021–,7.6,120K,N/A,TV-MA,"Sci-Fi Epic, Space Sci-Fi, Drama, Sci-Fi"
Angel Has Fallen,2019,6.4,120K,45,2h 1m,"Conspiracy Thriller, One-Person Army Action, Action, Thriller"
Capernaum,2018,8.4,120K,75,2h 6m,"Arabic, Coming-of-Age, Legal Drama, Psychological Drama, Drama"
1899,2022,7.3,119K,N/A,TV-MA,"Adventure, Drama, Thriller"
Attack on Titan,2013–2023,9.8,119K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Malignant,2021,6.2,119K,51,1h 51m,"Body Horror, Psychological Horror, Serial Killer, Slasher Horror, Splatter Horror, Supernatural Horror, Whodunnit, Crime, Horror, Mystery"
The Cloverfield Paradox,2018,5.5,119K,37,1h 42m,"Body Horror, Space Sci-Fi, Horror, Sci-Fi, Thriller"
Blink Twice,2024,6.5,119K,66,1h 42m,"Psychological Thriller, Whodunnit, Mystery, Thriller"
Dark Waters,2019,7.6,118K,73,2h 6m,"Conspiracy Thriller, Docudrama, Legal Drama, Biography, Drama, History, Thriller"
Titans,2018–2023,7.5,118K,N/A,TV-MA,"Superhero, Teen Drama, Teen Fantasy, Action, Adventure, Crime, Drama, Fantasy, Sci-Fi"
Mamma Mia! Here We Go Again,2018,6.6,118K,60,1h 54m,"Jukebox Musical, Pop Musical, Romantic Comedy, Comedy, Musical, Romance"
Rambo: Last Blood,2019,6.1,117K,26,1h 29m,"Contemporary Western, Gun Fu, One-Person Army Action, Action, Crime, Thriller"
The Worst Person in the World,2021,7.7,117K,91,2h 8m,"Norwegian, Coming-of-Age, Romantic Comedy, Comedy, Drama, Romance"
Hitman's Wife's Bodyguard,2021,6.1,117K,32,1h 40m,"Buddy Comedy, Caper, Dark Comedy, Action, Comedy, Crime, Romance, Thriller"
Brightburn,2019,6.1,117K,44,1h 30m,"Drama, Horror, Mystery, Sci-Fi"
The Peanut Butter Falcon,2019,7.6,117K,70,1h 37m,"Coming-of-Age, Quest, Quirky Comedy, Adventure, Comedy, Drama"
Moana 2,2024,6.4,117K,58,1h 40m,"Computer Animation, Sea Adventure, Adventure, Animation, Comedy, Family, Fantasy, Musical"
The Day of the Jackal,2024–,8.1,116K,N/A,TV-MA,"Spy, Action, Crime, Drama, Thriller"
Renfield,2023,6.4,116K,53,1h 33m,"Dark Comedy, Splatter Horror, Vampire Horror, Action, Comedy, Fantasy, Horror"
Chilling Adventures of Sabrina,2018–2020,7.4,116K,N/A,TV-14,"Supernatural Fantasy, Teen Drama, Teen Fantasy, Teen Horror, Witch Horror, Drama, Fantasy, Horror, Mystery, Thriller"
Maid,2021,8.3,116K,N/A,TV-MA,"Workplace Drama, Drama"
Violent Night,2022,6.7,116K,55,1h 52m,"Dark Comedy, Holiday Comedy, One-Person Army Action, Action, Comedy, Holiday, Thriller"
A Real Pain,2024,7,116K,85,1h 30m,"Buddy Comedy, Comedy, Drama"
Juror #2,2024,7,116K,72,1h 54m,"Legal Drama, Legal Thriller, Whodunnit, Crime, Drama, Mystery, Thriller"
The Idol,2023,4.4,115K,N/A,TV-MA,"Showbiz Drama, Drama, Music"
Brahmastra Part One: Shiva,2022,5.6,115K,57,2h 47m,"Hindi, Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Superhero, Action, Adventure, Fantasy"
The Undoing,2020,7.4,115K,N/A,TV-MA,"Legal Drama, Psychological Drama, Psychological Thriller, Whodunnit, Crime, Drama, Mystery, Thriller"
Russian Doll,2019–2022,7.7,114K,N/A,TV-MA,"Dark Comedy, High-Concept Comedy, Psychological Drama, Suspense Mystery, Comedy, Drama, Mystery"
American Fiction,2023,7.5,114K,81,1h 57m,"Dark Comedy, High-Concept Comedy, Satire, Comedy, Drama"
Damsel,2024,6.1,114K,46,1h 50m,"Dark Fantasy, Fairy Tale, Survival, Sword & Sandal, Action, Adventure, Fantasy"
Cyberpunk: Edgerunners,2022–,8.3,114K,N/A,TV-MA,"Adult Animation, Anime, Cyberpunk, Dystopian Sci-Fi, Hand-Drawn Animation, Tragedy, Urban Adventure, Action, Adventure, Animation"
Enola Holmes 2,2022,6.8,114K,N/A,2h 9m,"Cozy Mystery, Teen Adventure, Action, Adventure, Crime, Drama, Mystery"
Vinland Saga,2019–2023,8.8,114K,64,TV-MA,"Japanese, Adult Animation, Anime, Epic, Hand-Drawn Animation, Historical Epic, One-Person Army Action, Period Drama, Quest, Seinen"
Overlord,2018,6.6,113K,60,1h 50m,"Body Horror, Steampunk, Zombie Horror, Action, Horror, Sci-Fi, War"
Blue Beetle,2023,5.9,113K,61,2h 7m,"Superhero, Action, Adventure, Sci-Fi, Thriller"
Aquaman and the Lost Kingdom,2023,5.6,112K,42,2h 4m,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Sci-Fi Epic, Sea Adventure, Superhero, Action, Adventure, Fantasy"
Kantara,2022,8.2,112K,N/A,2h 28m,"Kannada, Action Epic, Epic, One-Person Army Action, Action, Adventure, Drama, Thriller"
The Iron Claw,2023,7.6,112K,73,2h 12m,"Docudrama, Period Drama, Psychological Drama, Tragedy, Biography, Drama, Sport"
The Rookie,2018–,8,112K,N/A,TV-14,"Cop Drama, Police Procedural, Action, Crime, Drama"
The Accountant 2,2025,6.6,112K,58,2h 12m,"Superhero, Whodunnit, Action, Crime, Drama, Mystery, Thriller"
Andhadhun,2018,8.2,112K,N/A,2h 19m,"Hindi, Conspiracy Thriller, Psychological Thriller, Crime, Mystery, Thriller"
Hustlers,2019,6.3,112K,79,1h 50m,"Workplace Drama, Comedy, Crime, Drama"
Sonic the Hedgehog 2,2022,6.5,111K,47,2h 2m,"Animal Adventure, Globetrotting Adventure, Superhero, Supernatural Fantasy, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi"
The Highwaymen,2019,6.9,111K,58,2h 12m,"Contemporary Western, Cop Drama, Period Drama, True Crime, Biography, Crime, Drama, Mystery, Thriller, Western"
Panchayat,2020–,9,111K,N/A,TV-14,"Hindi, Political Drama, Satire, Comedy, Drama"
The Outsider,2020,7.6,111K,59,TV-MA,"Folk Horror, Psychological Horror, Psychological Thriller, Supernatural Horror, Suspense Mystery, Whodunnit, Crime, Drama, Horror, Mystery"
Ballerina,2025,6.9,111K,N/A,2h 4m,"Gun Fu, Martial Arts, One-Person Army Action, Action, Thriller"
Lost in Space,2018–2021,7.3,111K,N/A,TV-PG,"Sci-Fi Epic, Space Sci-Fi, Suspense Mystery, Adventure, Drama, Family, Mystery, Sci-Fi"
Yellowjackets,2021–,7.7,111K,N/A,TV-MA,"Psychological Drama, Psychological Thriller, Survival, Suspense Mystery, Drama, Mystery, Thriller"
"Extremely Wicked, Shockingly Evil and Vile",2019,6.7,111K,52,1h 50m,"Docudrama, Period Drama, Serial Killer, True Crime, Whodunnit, Biography, Crime, Drama, Mystery, Thriller"
The Last of Us,2023–,9,110K,N/A,53m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
Animal,2023,6.2,110K,33,3h 24m,"Hindi, Action Epic, Epic, One-Person Army Action, Action, Crime, Drama, Thriller"
Ambulance,2022,6.1,110K,55,2h 16m,"Cop Drama, Gangster, Heist, Psychological Drama, Psychological Thriller, Tragedy, Action, Crime, Drama, Thriller"
Normal People,2020,8.4,110K,N/A,N/A,"Psychological Drama, Steamy Romance, Teen Drama, Teen Romance, Drama, Romance"
Moonfall,2022,5.2,110K,41,2h 10m,"Disaster, Space Sci-Fi, Action, Adventure, Sci-Fi"
Run,2020,6.7,109K,67,1h 30m,"Psychological Thriller, Suspense Mystery, Drama, Horror, Mystery, Thriller"
See,2019–2022,7.6,108K,N/A,TV-MA,"Dystopian Sci-Fi, Action, Drama, Sci-Fi"
Fractured,2019,6.5,108K,36,1h 39m,"Psychological Thriller, Drama, Mystery, Thriller"
Widows,2018,6.8,108K,84,2h 9m,"Heist, Tragedy, Crime, Drama, Thriller"
Dead to Me,2019–2022,7.9,108K,N/A,TV-MA,"Dark Comedy, Comedy, Crime, Drama"
Jawan,2023,6.9,108K,N/A,2h 49m,"Hindi, Action Epic, One-Person Army Action, Action, Crime, Drama, Thriller"
Finch,2021,6.9,108K,57,1h 55m,"Artificial Intelligence, Dystopian Sci-Fi, Road Trip, Survival, Adventure, Drama, Sci-Fi"
K.G.F: Chapter 1,2018,8.2,108K,N/A,2h 34m,"Kannada, Action Epic, Epic, Gangster, One-Person Army Action, Period Drama, Action, Crime, Drama, Thriller"
Eurovision Song Contest: The Story of Fire Saga,2020,6.5,108K,50,2h 3m,"Quirky Comedy, Comedy, Music"
Shrinking,2023–,8.1,108K,N/A,TV-MA,"Comedy, Drama"
Madame Web,2024,4.1,108K,26,1h 56m,"Superhero, Action, Thriller"
Bad Boys: Ride or Die,2024,6.5,107K,54,1h 55m,"Action Epic, Buddy Comedy, Buddy Cop, Action, Adventure, Comedy, Crime, Thriller"
Halo,2022–2024,7.3,107K,N/A,TV-14,"Space Sci-Fi, Action, Adventure, Sci-Fi, Thriller, War"
I'm Thinking of Ending Things,2020,6.5,107K,78,2h 14m,"Psychological Drama, Psychological Thriller, Drama, Thriller"
Fear Street: Part One - 1994,2021,6.2,107K,67,1h 47m,"Folk Horror, Slasher Horror, Suspense Mystery, Teen Horror, Whodunnit, Drama, Horror, Mystery"
The Brutalist,2024,7.3,107K,90,3h 36m,"Epic, Drama"
Tár,2022,7.4,107K,93,2h 38m,"Psychological Drama, Tragedy, Drama, Music"
The Family Man,2019–,8.7,106K,N/A,TV-MA,"Hindi, Spy, Action, Comedy, Crime, Drama, Thriller"
Attack on Titan,2013–2023,9.8,106K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
365 Days,2020,3.3,106K,N/A,1h 54m,"Steamy Romance, Drama, Romance"
Minari,2020,7.4,106K,89,1h 55m,"Korean, Docudrama, Drama"
Reptile,2023,6.8,106K,52,2h 14m,"Hard-boiled Detective, Police Procedural, Whodunnit, Crime, Drama, Mystery, Thriller"
Hellboy,2019,5.3,106K,31,2h,"Dark Fantasy, Superhero, Action, Adventure, Fantasy, Horror, Sci-Fi"
Halloween Kills,2021,5.5,106K,42,1h 45m,"Slasher Horror, Action, Drama, Horror, Thriller"
Underwater,2020,5.9,106K,62,1h 35m,"Disaster, Psychological Thriller, Sea Adventure, Action, Horror, Sci-Fi, Thriller"
Abigail,2024,6.5,106K,48,1h 49m,"Dark Comedy, Monster Horror, Splatter Horror, Vampire Horror, Action, Comedy, Crime, Horror, Thriller"
Tulsa King,2022–,7.9,106K,N/A,TV-MA,"Gangster, Action, Crime, Drama"
The Guardians of the Galaxy Holiday Special,2022,6.9,105K,N/A,42m,"Holiday Comedy, Superhero, Action, Adventure, Comedy, Holiday, Sci-Fi"
The Grinch,2018,6.4,105K,51,1h 25m,"Computer Animation, Holiday Animation, Holiday Comedy, Holiday Family, Animation, Comedy, Family, Fantasy, Holiday"
Operation Fortune: Ruse de Guerre,2023,6.3,105K,51,1h 54m,"Spy, Action, Comedy, Thriller"
Locke & Key,2020–2022,7.3,105K,95,TV-14,"Supernatural Fantasy, Teen Drama, Teen Fantasy, Teen Horror, Drama, Fantasy, Horror, Mystery, Thriller"
Anna,2019,6.7,105K,N/A,1h 58m,"One-Person Army Action, Spy, Action, Thriller"
Polar,2019,6.3,105K,40,1h 58m,"One-Person Army Action, Action, Crime, Thriller"
Spenser Confidential,2020,6.2,105K,19,1h 51m,"Buddy Cop, Action, Comedy, Crime, Drama, Mystery, Thriller"
Richard Jewell,2019,7.5,105K,49,2h 11m,"Docudrama, True Crime, Biography, Crime, Drama"
A Complete Unknown,2024,7.3,104K,68,2h 21m,"Docudrama, Period Drama, Showbiz Drama, Biography, Drama, Music"
I Am Mother,2019,6.7,104K,70,1h 53m,"Artificial Intelligence, Drama, Mystery, Sci-Fi, Thriller"
One Battle After Another,2025,8.3,104K,64,2h 41m,"Action Epic, Dark Comedy, Epic, Political Thriller, Action, Crime, Drama, Thriller"
Amsterdam,2022,6.1,104K,49,2h 14m,"Conspiracy Thriller, Period Drama, Comedy, Drama, History, Mystery, Thriller"
West Side Story,2021,7.1,104K,85,2h 36m,"Classic Musical, Tragic Romance, Crime, Drama, Musical, Romance"
Creed III,2023,6.7,104K,73,1h 56m,"Boxing, Action, Drama, Sport"
65,2023,5.4,103K,40,1h 33m,"Dinosaur Adventure, Survival, Action, Adventure, Sci-Fi, Thriller"
Pet Sematary,2019,5.7,103K,57,1h 40m,"Folk Horror, Horror, Mystery, Thriller"
The Boy and the Heron,2023,7.4,103K,91,2h 4m,"Japanese, Adult Animation, Adventure Epic, Anime, Epic, Fantasy Epic, Hand-Drawn Animation, Isekai, Adventure, Animation"
Sisu,2022,6.9,103K,70,1h 31m,"Action Epic, One-Person Army Action, Period Drama, Action, Thriller, War"
The House That Jack Built,2018,6.8,103K,42,2h 32m,"Dark Comedy, Psychological Horror, Serial Killer, Slasher Horror, Crime, Drama, Horror"
Midway,2019,6.7,103K,47,2h 18m,"War Epic, Action, Drama, History, War"
Ginny & Georgia,2021–,7.5,102K,N/A,TV-14,"Coming-of-Age, Teen Comedy, Comedy, Drama"
Project Power,2020,6,102K,51,1h 53m,"Drug Crime, Superhero, Action, Crime, Sci-Fi, Thriller"
Suspiria,2018,6.7,102K,64,2h 32m,"Folk Horror, Psychological Horror, Supernatural Horror, Witch Horror, Drama, Fantasy, Horror, Mystery, Thriller"
Pig,2021,6.9,102K,82,1h 32m,"Psychological Drama, Suspense Mystery, Drama, Mystery"
Happy Gilmore 2,2025,6.1,102K,52,1h 54m,"Farce, High-Concept Comedy, Quest, Raunchy Comedy, Slapstick, Comedy, Sport"
Tetris,2023,7.4,102K,61,1h 58m,"Docudrama, Political Thriller, Biography, Drama, History, Thriller"
Minions: The Rise of Gru,2022,6.5,101K,56,1h 27m,"Caper, Computer Animation, Slapstick, Adventure, Animation, Comedy, Crime, Family, Sci-Fi"
How to Train Your Dragon,2025,7.8,101K,61,2h 5m,"Sword & Sorcery, Teen Adventure, Teen Fantasy, Action, Adventure, Comedy, Drama, Family, Fantasy"
Manifest,2018–2023,7,101K,N/A,TV-14,"Suspense Mystery, Time Travel, Drama, Mystery, Sci-Fi, Thriller"
The Kissing Booth,2018,5.9,101K,N/A,1h 45m,"Romantic Comedy, Teen Comedy, Teen Romance, Comedy, Romance"
Crawl,2019,6.1,101K,60,1h 27m,"Disaster, Monster Horror, Action, Horror, Thriller"
Outer Banks,2020–2026,7.5,101K,N/A,TV-MA,"Teen Drama, Action, Crime, Drama, Mystery, Romance, Thriller"
Plane,2023,6.5,100K,62,1h 47m,"One-Person Army Action, Quest, Survival, Action, Adventure, Thriller"
The Dead Don't Die,2019,5.4,100K,53,1h 44m,"Dark Comedy, Satire, Zombie Horror, Comedy, Fantasy, Horror, Sci-Fi"
News of the World,2020,6.8,100K,73,1h 58m,"Quest, Action, Adventure, Drama, Western"
Star Trek: Picard,2020–2023,7.5,100K,N/A,TV-MA,"Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi"
One Piece,1999–,9.7,100K,N/A,24m,"Japanese, Action Epic, Adventure Epic, Anime, Epic, Fantasy Epic, Globetrotting Adventure, Hand-Drawn Animation, Martial Arts, Quest"
Dexter: Resurrection,2025–,9.1,100K,N/A,TV-MA,"Dark Comedy, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Thriller"
Narcos: Mexico,2018–2021,8.3,99K,N/A,TV-MA,"Drug Crime, Epic, True Crime, Biography, Crime, Drama, Thriller"
Belfast,2021,7.2,99K,75,1h 38m,"Coming-of-Age, Period Drama, Political Drama, Biography, Drama"
Mary Poppins Returns,2018,6.7,99K,66,2h 10m,"Supernatural Fantasy, Adventure, Comedy, Family, Fantasy, Music, Musical"
The Pope's Exorcist,2023,6.1,99K,45,1h 43m,"Supernatural Horror, Horror, Thriller"
Ghostbusters: Frozen Empire,2024,6.1,99K,46,1h 55m,"Supernatural Fantasy, Adventure, Comedy, Fantasy, Sci-Fi"
Elite,2018–2024,7.1,99K,N/A,TV-MA,"Spanish, Erotic Thriller, Teen Drama, Crime, Drama, Thriller"
The New Mutants,2020,5.3,99K,43,1h 34m,"Psychological Horror, Superhero, Teen Horror, Action, Horror, Mystery, Sci-Fi"
12 Strong,2018,6.5,99K,54,2h 10m,"Docudrama, Action, Drama, History, War"
Last Christmas,2019,6.5,99K,50,1h 43m,"Holiday Comedy, Holiday Romance, Romantic Comedy, Comedy, Drama, Fantasy, Holiday, Romance"
Pushpa: The Rise - Part 1,2021,7.6,98K,N/A,2h 59m,"Telugu, Action Epic, Gangster, One-Person Army Action, Action, Crime, Drama, Thriller"
Sing 2,2021,7.3,98K,49,1h 50m,"Animal Adventure, Computer Animation, Jukebox Musical, Adventure, Animation, Comedy, Family, Musical"
Annabelle Comes Home,2019,5.9,98K,53,1h 46m,"Supernatural Horror, Horror, Mystery, Thriller"
Meg 2: The Trench,2023,5,98K,40,1h 56m,"Kaiju, Action, Adventure, Horror, Sci-Fi, Thriller"
Unorthodox,2020,8,98K,N/A,TV-MA,"German, Epic, Drama"
Rebel Ridge,2024,6.8,97K,76,2h 11m,"One-Person Army Action, Action, Crime, Drama, Thriller"
Sadak 2,2020,1.2,97K,N/A,2h 13m,"Hindi, Action, Drama"
Day Shift,2022,6.1,97K,51,1h 53m,"One-Person Army Action, Vampire Horror, Action, Comedy, Fantasy, Horror, Thriller"
Blue Eye Samurai,2023–,8.7,97K,N/A,TV-MA,"Adult Animation, Computer Animation, Period Drama, Samurai, Action, Adventure, Animation, Drama, History, Thriller"
Mandy,2018,6.5,97K,83,2h 1m,"Dark Fantasy, Folk Horror, One-Person Army Action, Psychological Horror, Splatter Horror, Action, Fantasy, Horror"
Flow,2024,7.9,97K,87,1h 25m,"Animal Adventure, Computer Animation, Survival, Adventure, Animation, Family, Fantasy"
Monkey Man,2024,6.8,96K,70,2h 1m,"Action Epic, Martial Arts, One-Person Army Action, Action, Crime, Thriller"
Argylle,2024,5.6,96K,35,2h 19m,"Spy, Action, Comedy, Thriller"
Sacred Games,2018–2019,8.5,96K,N/A,TV-MA,"Hindi, Gangster, Suspense Mystery, Action, Crime, Drama, Mystery, Thriller"
Judas and the Black Messiah,2021,7.4,96K,84,2h 6m,"Docudrama, Period Drama, Political Drama, Biography, Crime, Drama, History"
Hotel Transylvania 3: Summer Vacation,2018,6.3,96K,54,1h 37m,"Computer Animation, Dark Comedy, Satire, Slapstick, Adventure, Animation, Comedy, Family, Fantasy"
Army of Thieves,2021,6.4,96K,49,2h 7m,"Caper, Action, Comedy, Crime, Thriller"
Wolfs,2024,6.5,95K,60,1h 48m,"Conspiracy Thriller, Gangster, Crime, Thriller"
Emilia Pérez,2024,5.4,94K,70,2h 12m,"Spanish, Pop Musical, Crime, Drama, Musical, Thriller"
Five Feet Apart,2019,7.2,94K,53,1h 56m,"Coming-of-Age, Tragic Romance, Drama, Romance"
Attack on Titan,2013–2023,9.8,94K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Happy Death Day 2U,2019,6.2,93K,57,1h 40m,"B-Horror, Dark Comedy, Raunchy Comedy, Slasher Horror, Teen Comedy, Teen Horror, Time Travel, Comedy, Horror, Mystery"
It Ends with Us,2024,6.3,93K,53,2h 10m,"Drama, Romance"
Saw X,2023,6.6,93K,60,1h 58m,"Body Horror, Splatter Horror, Horror, Mystery, Thriller"
Attack on Titan,2013–2023,9.8,93K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Shoplifters,2018,7.9,93K,93,2h 1m,"Japanese, Caper, Psychological Drama, Crime, Drama, Thriller"
The Social Dilemma,2020,7.6,93K,N/A,1h 34m,"Science & Technology Documentary, Documentary, Drama"
