Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Eternals,2021,6.2,417K,52,2h 36m,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Sci-Fi Epic, Superhero, Action, Adventure, Fantasy, Sci-Fi"
Arcane,2021–2024,9,416K,N/A,TV-14,"Action Epic, Adult Animation, Computer Animation, Dark Fantasy, Dystopian Sci-Fi, Epic, Political Drama, Psychological Drama, Steampunk, Supernatural Fantasy"
Bird Box,2018,6.6,413K,51,2h 4m,"Folk Horror, Psychological Horror, Supernatural Horror, Horror, Mystery, Sci-Fi"
Mission: Impossible - Fallout,2018,7.7,411K,87,2h 27m,"Action Epic, Globetrotting Adventure, Spy, Action, Adventure, Thriller"
Shazam!,2019,7,407K,71,2h 12m,"Superhero, Action, Adventure, Comedy, Fantasy"
WandaVision,2021,7.9,406K,N/A,TV-PG,"Parody, Sitcom, Superhero, Action, Comedy, Fantasy, Mystery, Sci-Fi"
Solo: A Star Wars Story,2018,6.9,401K,62,2h 15m,"Action Epic, Adventure Epic, Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Sci-Fi"
John Wick: Chapter 4,2023,7.6,396K,78,2h 49m,"Action Epic, Gun Fu, One-Person Army Action, Action, Crime, Thriller"
Snow White,2025,2.1,390K,50,1h 49m,"Fairy Tale, Feel-Good Romance, Adventure, Family, Fantasy, Musical, Romance"
Sex Education,2019–2023,8.2,387K,N/A,TV-MA,"Coming-of-Age, Raunchy Comedy, Teen Comedy, Teen Drama, Comedy, Drama, Romance"
Annihilation,2018,6.8,386K,79,1h 55m,"Alien Invasion, Body Horror, Psychological Horror, Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller"
Us,2019,6.8,379K,81,1h 56m,"Dark Comedy, Folk Horror, Psychological Horror, Teen Horror, Horror, Mystery, Thriller"
Nobody,2021,7.4,376K,64,1h 32m,"Dark Comedy, Gangster, One-Person Army Action, Action, Crime, Drama, Thriller"
Jurassic World: Fallen Kingdom,2018,6.1,372K,51,2h 8m,"Dinosaur Adventure, Action, Adventure, Sci-Fi"
Marriage Story,2019,7.9,365K,94,2h 17m,"Psychological Drama, Drama, Romance"
Incredibles 2,2018,7.5,360K,80,1h 58m,"Computer Animation, Conspiracy Thriller, Cyber Thriller, Superhero, Urban Adventure, Action, Adventure, Animation, Comedy, Family"
Poor Things,2023,7.8,356K,88,2h 21m,"Dark Comedy, Psychological Drama, Steampunk, Comedy, Drama, Romance, Sci-Fi"
You,2018–2025,7.6,353K,N/A,TV-MA,"Dark Romance, Psychological Drama, Psychological Thriller, Crime, Drama, Romance, Thriller"
Severance,2022–,8.7,349K,N/A,TV-MA,"Conspiracy Thriller, Dystopian Sci-Fi, Psychological Drama, Psychological Thriller, Workplace Drama, Drama, Mystery, Sci-Fi, Thriller"
The Substance,2024,7.2,347K,78,2h 21m,"Body Horror, Dark Comedy, Monster Horror, Psychological Horror, Showbiz Drama, Drama, Horror, Sci-Fi"
Red Notice,2021,6.3,346K,37,1h 58m,"Action, Comedy, Thriller"
