Job_Name,Salary_Range,Company,Location,Required_Skills,Updated_Time,Detail_Link
DevOps Engineer,Thoả thuận,Công ty Cổ phần TOPCV Việt Nam,Hà Nội: Thanh Xuân,"Linux, System Admin, CI/CD",32 phút trước,https://www.topcv.vn/brand/topcv/tuyen-dung/devops-engineer-j1823528.html?ta_source=ITJobs_LinkDetail
Kỹ Sư Quản Lý Tinh Gọn Cấp Cao_ 02 Năm Kinh Nghiệm _ Thu Nhập Up To 50M++ _ Đi Làm Ngay Tại Quảng Yên - Quảng Ninh,45 - 50 triệu,CÔNG TY TNHH CÔNG NGHIỆP JINKO SOLAR (VIỆT NAM),Quảng Ninh: Quảng Yên,N/A,32 phút trước,https://www.topcv.vn/viec-lam/ky-su-quan-ly-tinh-gon-cap-cao-02-nam-kinh-nghiem-thu-nhap-up-to-50m-di-lam-ngay-tai-quang-yen-quang-ninh/1912138.html?ta_source=ITJobs_LinkDetail
Senior Frontend Developer (React.Js/Next.Js) - Mức Lương Upto 30M,Tới 30 triệu,CÔNG TY TNHH VODAPLAY VIỆT NAM,Hà Nội: Cầu Giấy,N/A,32 phút trước,https://www.topcv.vn/viec-lam/senior-frontend-developer-react-js-next-js-muc-luong-upto-30m/1771109.html?ta_source=ITJobs_LinkDetail
IOS Developer (Swift/C++),Thoả thuận,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,Hà Nội: Nam Từ Liêm,"Swift, XCode",32 phút trước,https://www.topcv.vn/viec-lam/ios-developer-swift-c/1608572.html?ta_source=ITJobs_LinkDetail
"Backend Engineer (Từ Level Middle Trở Lên, Mảng Blockchain)",Thoả thuận,CÔNG TY CỔ PHẦN 1MATRIX,Hà Nội: Hoàng Mai,"NodeJS, Golang, Rust",32 phút trước,https://www.topcv.vn/viec-lam/backend-engineer-tu-level-middle-tro-len-mang-blockchain/1852001.html?ta_source=ITJobs_LinkDetail
QA - Validation & Verification Engineer,Thoả thuận,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Hà Nội: Cầu Giấy,"CCNA, Engish",32 phút trước,https://www.topcv.vn/viec-lam/qa-validation-verification-engineer/1873287.html?ta_source=ITJobs_LinkDetail
Senior Fullstack Developer PHP- Lương Up To 30tr-Có 2 Năm Kinh Nghiệm- Đi Làm Ngay,20 - 30 triệu,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,"Javascript, PHP, HTML/CSS",32 phút trước,https://www.topcv.vn/viec-lam/senior-fullstack-developer-php-luong-up-to-30tr-co-2-nam-kinh-nghiem-di-lam-ngay/1895797.html?ta_source=ITJobs_LinkDetail
Nhân Viên Business Analyst,15 - 20 triệu,Công ty TNHH Phát triển công nghệ điện tử Bình Anh,Hà Nội,"SQL, Phân tích dữ liệu, Truyền Đạt Thông Tin",32 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-business-analyst/1646337.html?ta_source=ITJobs_LinkDetail
Thực Tập Sinh Công Nghệ Thông Tin Fulltime Có Lương,4 - 10 triệu,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Hồ Chí Minh: Quận 12,"Tư duy logic, Kỹ năng giải quyết vấn đề, Tinh thần làm việc nhóm",32 phút trước,https://www.topcv.vn/viec-lam/thuc-tap-sinh-cong-nghe-thong-tin-fulltime-co-luong/1903553.html?ta_source=ITJobs_LinkDetail
Junior Fullstack Developer PHP- Lương Up To 15tr-Có 2 Năm Kinh Nghiệm- Đi Làm Ngay,12 - 15 triệu,CÔNG TY TNHH TOP TALENT,Đồng Nai: Biên Hoà,"CSS, Git, Github",32 phút trước,https://www.topcv.vn/viec-lam/junior-fullstack-developer-php-luong-up-to-15tr-co-2-nam-kinh-nghiem-di-lam-ngay/1895796.html?ta_source=ITJobs_LinkDetail
Application Support Assistant Manager / Supervisor,Thoả thuận,SHINHAN FINANCE,Hồ Chí Minh: Tân Bình,"Team Leadership, application support, Incident Management",32 phút trước,https://www.topcv.vn/brand/shinhanfinance1/tuyen-dung/application-support-assistant-manager-supervisor-j1906193.html?ta_source=ITJobs_LinkDetail
Product Executive,Thoả thuận,Công ty Cổ phần TOPCV Việt Nam,Hà Nội: Thanh Xuân,"Nghiên Cứu Thị Trường, Phân Tích Thị Trường, Quản Lý Sản Phẩm",32 phút trước,https://www.topcv.vn/brand/topcv/tuyen-dung/product-executive-j1907935.html?ta_source=ITJobs_LinkDetail
"Nhân Viên Kỹ Thuật Máy Tính, Máy In, Camera Thu Nhập 8-12 Triệu Tại Hải Phòng",8 - 12 triệu,Công ty TNHH công nghệ KSC,Hải Phòng: An Dương,N/A,32 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-may-tinh-may-in-camera-thu-nhap-8-12-trieu-tai-hai-phong/1204478.html?ta_source=ITJobs_LinkDetail
"Junior Fullstack Developers - Fintech, Ecommerce",Thoả thuận,CÔNG TY TNHH TÍCH HỢP CRM,Hà Nội: Cầu Giấy,"Java, MongoDB, NodeJS",32 phút trước,https://www.topcv.vn/viec-lam/junior-fullstack-developers-fintech-ecommerce/1487371.html?ta_source=ITJobs_LinkDetail
Nhân Viên Đánh Giá An Toàn Thông Tin,Thoả thuận,Công Ty TNHH BlueCyber,Hà Nội: Cầu Giấy,"Đánh giá rủi ro, Kỹ Năng Viết Báo Cáo, Phân Tích Lỗ Hổng Bảo Mật",32 phút trước,https://www.topcv.vn/viec-lam/nhan-vien-danh-gia-an-toan-thong-tin/1906167.html?ta_source=ITJobs_LinkDetail
Chương Trình Đào Tạo IT Fresher - Testing Engineer - The Rookie2Engineer - Offer Up To 17M,Thoả thuận,NashTech,Hồ Chí Minh: Tân BìnhHà Nội: Cầu Giấy,"Tester, Tư duy logic, Testing",33 phút trước,https://www.topcv.vn/viec-lam/chuong-trinh-dao-tao-it-fresher-testing-engineer-the-rookie2engineer-offer-up-to-17m/1895731.html?ta_source=ITJobs_LinkDetail
"Full Stack Developer (Java, Springboot, React)",Thoả thuận,Công Ty TNHH LG CNS VIỆT NAM,Hà Nội: Nam Từ Liêm,N/A,33 phút trước,https://www.topcv.vn/viec-lam/full-stack-developer-java-springboot-react/1783213.html?ta_source=ITJobs_LinkDetail
Kỹ Thuật Lập Trình / Programmer Engineer (PE) Thu Nhập Từ 13 - 20 Triệu Tại Hà Nội (Đi Làm Ngay),13 - 20 triệu,Công ty Cổ phần AVPlus,Hà Nội,N/A,33 phút trước,https://www.topcv.vn/viec-lam/ky-thuat-lap-trinh-programmer-engineer-pe-thu-nhap-tu-13-20-trieu-tai-ha-noi-di-lam-ngay/1911429.html?ta_source=ITJobs_LinkDetail
Product Owner AI (Quản Lý Sản Phẩm AI),Thoả thuận,Khối Công nghệ thông tin - Viettel Telecom,Hà Nội: Ba Đình,N/A,37 phút trước,https://www.topcv.vn/viec-lam/product-owner-ai-quan-ly-san-pham-ai/1913402.html?ta_source=ITJobs_LinkDetail
